15:03:41.942 [main] INFO  org.apache.hyracks.control.nc.NodeControllerService - Setting uncaught exception handler org.apache.hyracks.api.lifecycle.LifeCycleComponentManager@16414e40
15:03:43.218 [main] INFO  org.apache.hyracks.control.nc.NodeControllerService - Started NodeControllerService
15:03:43.219 [main] INFO  org.apache.hyracks.util.ExitUtil - successfully registered shutdown hook Thread[ShutdownHook-asterix_nc2,5,main]
15:03:43.219 [Worker:asterix_nc2] INFO  org.apache.hyracks.control.nc.work.AbortAllJobsWork - Aborting all tasks for controller CC:0
15:03:43.228 [Executor-6:asterix_nc2] INFO  org.apache.hyracks.control.nc.work.EnsureAllCcTasksCompleted - Ensuring all tasks of CC CC:0 have completed
15:03:43.234 [Executor-6:asterix_nc2] INFO  org.apache.hyracks.control.nc.work.EnsureAllCcTasksCompleted - all tasks of CC CC:0 have completed
15:03:43.412 [Executor-6:asterix_nc2] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Getting latest checkpoint
15:03:43.412 [Executor-6:asterix_nc2] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Listing of files in the checkpoint dir returned empty
15:03:43.412 [Executor-6:asterix_nc2] INFO  org.apache.asterix.app.nc.RecoveryManager - The checkpoint file doesn't exist: systemState = PERMANENT_DATA_LOSS
15:03:43.458 [Worker:asterix_nc2] INFO  org.apache.asterix.messaging.NCMessageBroker - Received message: org.apache.asterix.app.replication.message.RegistrationTasksResponseMessage@225eabbe
15:03:43.459 [Executor-6:asterix_nc2] INFO  org.apache.asterix.app.replication.message.RegistrationTasksResponseMessage - Starting startup task: { "class" : "UpdateNodeStatusTask" }
15:03:43.459 [Executor-6:asterix_nc2] INFO  org.apache.asterix.app.replication.message.RegistrationTasksResponseMessage - Completed startup task: { "class" : "UpdateNodeStatusTask" }
15:03:43.459 [Executor-6:asterix_nc2] INFO  org.apache.asterix.app.replication.message.RegistrationTasksResponseMessage - Starting startup task: { "class" : "CheckpointTask" }
15:03:43.459 [Executor-6:asterix_nc2] INFO  org.apache.asterix.transaction.management.service.recovery.CheckpointManager - Starting sharp checkpoint...
15:03:43.460 [Executor-6:asterix_nc2] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Listing of files in the checkpoint dir returned empty
15:03:43.460 [Executor-6:asterix_nc2] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Persisting checkpoint file to C:\Users\emm12\OneDrive - UW\Winter Quarter 2023\CSE414\HW7\asterix-server-0.9.6-binary-assembly\apache-asterixdb-0.9.6\opt\local\data\blue\txnlog\checkpoint_0 which doesn't exist yet
15:03:43.507 [Executor-6:asterix_nc2] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Completed persisting checkpoint file to C:\Users\emm12\OneDrive - UW\Winter Quarter 2023\CSE414\HW7\asterix-server-0.9.6-binary-assembly\apache-asterixdb-0.9.6\opt\local\data\blue\txnlog\checkpoint_0 which now exists
15:03:43.508 [Executor-6:asterix_nc2] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Listing of files in the checkpoint dir returned [data\blue\txnlog\checkpoint_0]
15:03:43.508 [Executor-6:asterix_nc2] WARN  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Reading checkpoint file: C:\Users\emm12\OneDrive - UW\Winter Quarter 2023\CSE414\HW7\asterix-server-0.9.6-binary-assembly\apache-asterixdb-0.9.6\opt\local\data\blue\txnlog\checkpoint_0
15:03:43.510 [Executor-6:asterix_nc2] INFO  org.apache.asterix.transaction.management.service.logging.LogManager - Terminating LogFlusher thread ...
15:03:43.511 [Executor-6:asterix_nc2] INFO  org.apache.asterix.transaction.management.service.logging.LogManager - LogFlusher thread is terminated.
15:03:43.512 [Executor-6:asterix_nc2] INFO  org.apache.asterix.transaction.management.service.logging.LogManager - closing current log file with id(0)
15:03:43.513 [Executor-6:asterix_nc2] INFO  org.apache.asterix.transaction.management.service.logging.LogManager - Created log file data/blue/txnlog\transaction_log_1
15:03:43.514 [Executor-6:asterix_nc2] INFO  org.apache.asterix.transaction.management.service.logging.LogManager - Deleted log file C:\Users\emm12\OneDrive - UW\Winter Quarter 2023\CSE414\HW7\asterix-server-0.9.6-binary-assembly\apache-asterixdb-0.9.6\opt\local\data\blue\txnlog\transaction_log_0
15:03:43.537 [Executor-6:asterix_nc2] INFO  org.apache.asterix.transaction.management.service.logging.LogManager - initializing log anchor with log file Id: 1 at offset: 0
15:03:43.538 [Executor-6:asterix_nc2] INFO  org.apache.asterix.transaction.management.service.logging.LogManager - LogManager starts logging in LSN: 268435456
15:03:43.539 [Executor-6:asterix_nc2] INFO  org.apache.asterix.transaction.management.service.recovery.CheckpointManager - Completed sharp checkpoint.
15:03:43.539 [Executor-6:asterix_nc2] INFO  org.apache.asterix.app.replication.message.RegistrationTasksResponseMessage - Completed startup task: { "class" : "CheckpointTask" }
15:03:43.539 [Executor-6:asterix_nc2] INFO  org.apache.asterix.app.replication.message.RegistrationTasksResponseMessage - Starting startup task: { "class" : "StartLifecycleComponentsTask" }
15:03:43.540 [Executor-6:asterix_nc2] INFO  org.apache.asterix.app.nc.task.StartLifecycleComponentsTask - Starting lifecycle components
15:03:43.540 [Executor-6:asterix_nc2] INFO  org.apache.asterix.app.nc.task.StartLifecycleComponentsTask - Coredump directory for NC is: data/blue/coredump
15:03:43.540 [Executor-6:asterix_nc2] INFO  org.apache.hyracks.api.lifecycle.LifeCycleComponentManager - LifecycleComponentManager configured org.apache.hyracks.api.lifecycle.LifeCycleComponentManager@16414e40
15:03:43.540 [Executor-6:asterix_nc2] INFO  org.apache.asterix.app.nc.task.StartLifecycleComponentsTask - Configured:org.apache.hyracks.api.lifecycle.LifeCycleComponentManager@16414e40
15:03:43.541 [Executor-6:asterix_nc2] INFO  org.apache.asterix.app.replication.message.RegistrationTasksResponseMessage - Completed startup task: { "class" : "StartLifecycleComponentsTask" }
15:03:43.542 [Executor-6:asterix_nc2] INFO  org.apache.asterix.app.replication.message.RegistrationTasksResponseMessage - Starting startup task: { "class" : "UpdateNodeStatusTask" }
15:03:43.542 [Executor-6:asterix_nc2] INFO  org.apache.asterix.app.replication.message.RegistrationTasksResponseMessage - Completed startup task: { "class" : "UpdateNodeStatusTask" }
15:08:10.030 [main] INFO  org.apache.hyracks.control.nc.NodeControllerService - Setting uncaught exception handler org.apache.hyracks.api.lifecycle.LifeCycleComponentManager@3549bca9
15:08:10.053 [main] INFO  org.apache.hyracks.util.MXHelper - Access to file descriptors (FDs) is not available on Windows; FD info will not be logged
15:08:10.054 [main] INFO  org.apache.hyracks.control.nc.NodeControllerService - Starting NodeControllerService
15:08:10.272 [main] INFO  org.apache.hyracks.util.trace.Tracer - Initialize Tracer org.apache.hyracks.util.trace.Tracer.Traces.asterix_nc2
15:08:10.282 [main] INFO  org.apache.hyracks.util.trace.Tracer - Set categories for Tracer org.apache.hyracks.util.trace.Tracer.Traces.asterix_nc2 to []
15:08:10.284 [main] INFO  org.apache.hyracks.util.LoggingConfigUtil - Setting org.apache.hyracks log level to INFO
15:08:10.286 [main] INFO  org.apache.hyracks.util.LoggingConfigUtil - Setting org.apache.asterix log level to INFO
15:08:10.289 [main] INFO  org.apache.asterix.hyracks.bootstrap.ApplicationConfigurator - Found JRE version 17.0.1
15:08:10.289 [main] WARN  org.apache.asterix.hyracks.bootstrap.ApplicationConfigurator - JRE version "17.0.1" is untested
15:08:10.512 [main] INFO  org.apache.asterix.hyracks.bootstrap.NCApplication - Starting Asterix node controller: asterix_nc2
15:08:10.739 [main] INFO  org.apache.asterix.app.nc.TransactionSubsystem - Checkpoint Properties: {"class" : "CheckpointProperties", "checkpoint-dir-path" : "data/blue/txnlog", "lsn-threshold" : 67108864, "poll-frequency" : 120, "history-to-keep" : 2, "dataset-checkpoint-interval" : 3600}
15:08:10.743 [main] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Checkpoint directory = data/blue/txnlog
15:08:10.744 [main] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Getting latest checkpoint
15:08:10.745 [main] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Listing of files in the checkpoint dir returned [data\blue\txnlog\checkpoint_0]
15:08:10.745 [main] WARN  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Reading checkpoint file: C:\Users\emm12\OneDrive - UW\Winter Quarter 2023\CSE414\HW7\asterix-server-0.9.6-binary-assembly\apache-asterixdb-0.9.6\opt\local\data\blue\txnlog\checkpoint_0
15:08:10.801 [main] INFO  org.apache.asterix.transaction.management.service.logging.LogManager - initializing log anchor with log file Id: 1 at offset: 0
15:08:10.801 [main] INFO  org.apache.asterix.transaction.management.service.logging.LogManager - LogManager starts logging in LSN: 268435456
15:08:10.806 [main] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Getting latest checkpoint
15:08:10.808 [main] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Listing of files in the checkpoint dir returned [data\blue\txnlog\checkpoint_0]
15:08:10.808 [main] WARN  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Reading checkpoint file: C:\Users\emm12\OneDrive - UW\Winter Quarter 2023\CSE414\HW7\asterix-server-0.9.6-binary-assembly\apache-asterixdb-0.9.6\opt\local\data\blue\txnlog\checkpoint_0
15:08:10.819 [main] INFO  org.apache.asterix.app.nc.NCAppRuntimeContext - The value of maxConcurrentFlushes is not provided. Setting maxConcurrentFlushes = 1.
15:08:10.872 [main] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Getting latest checkpoint
15:08:10.873 [main] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Listing of files in the checkpoint dir returned [data\blue\txnlog\checkpoint_0]
15:08:10.873 [main] WARN  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Reading checkpoint file: C:\Users\emm12\OneDrive - UW\Winter Quarter 2023\CSE414\HW7\asterix-server-0.9.6-binary-assembly\apache-asterixdb-0.9.6\opt\local\data\blue\txnlog\checkpoint_0
15:08:10.874 [main] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Getting latest checkpoint
15:08:10.874 [main] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Listing of files in the checkpoint dir returned [data\blue\txnlog\checkpoint_0]
15:08:10.875 [main] WARN  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Reading checkpoint file: C:\Users\emm12\OneDrive - UW\Winter Quarter 2023\CSE414\HW7\asterix-server-0.9.6-binary-assembly\apache-asterixdb-0.9.6\opt\local\data\blue\txnlog\checkpoint_0
15:08:10.876 [main] INFO  org.apache.asterix.hyracks.bootstrap.NCApplication - System state: HEALTHY
15:08:10.876 [main] INFO  org.apache.asterix.hyracks.bootstrap.NCApplication - Node ID: asterix_nc2
15:08:10.876 [main] INFO  org.apache.asterix.hyracks.bootstrap.NCApplication - Stores: {asterix_nc1=[data/red\storage], asterix_nc2=[data/blue\storage]}
15:08:11.007 [main] INFO  org.apache.hyracks.control.nc.NodeControllerService - addCc: /127.0.0.1:1099
15:08:11.034 [main] INFO  org.apache.hyracks.control.nc.NodeControllerService - Registering with Cluster Controller ClusterControllerRemoteProxy [/127.0.0.1:1099]
15:08:11.167 [main] INFO  org.apache.hyracks.control.nc.NodeControllerService - Registering with Cluster Controller ClusterControllerRemoteProxy [/127.0.0.1:1099] completed
15:08:11.167 [main] INFO  org.apache.hyracks.control.nc.NodeControllerService - Started NodeControllerService
15:08:11.168 [Worker:asterix_nc2] INFO  org.apache.hyracks.control.nc.work.AbortAllJobsWork - Aborting all tasks for controller CC:0
15:08:11.168 [main] INFO  org.apache.hyracks.util.ExitUtil - successfully registered shutdown hook Thread[ShutdownHook-asterix_nc2,5,main]
15:08:11.172 [Executor-6:asterix_nc2] INFO  org.apache.hyracks.control.nc.work.EnsureAllCcTasksCompleted - Ensuring all tasks of CC CC:0 have completed
15:08:11.177 [Executor-6:asterix_nc2] INFO  org.apache.hyracks.control.nc.work.EnsureAllCcTasksCompleted - all tasks of CC CC:0 have completed
15:08:11.403 [Executor-6:asterix_nc2] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Getting latest checkpoint
15:08:11.403 [Executor-6:asterix_nc2] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Listing of files in the checkpoint dir returned [data\blue\txnlog\checkpoint_0]
15:08:11.404 [Executor-6:asterix_nc2] WARN  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Reading checkpoint file: C:\Users\emm12\OneDrive - UW\Winter Quarter 2023\CSE414\HW7\asterix-server-0.9.6-binary-assembly\apache-asterixdb-0.9.6\opt\local\data\blue\txnlog\checkpoint_0
15:08:11.438 [Worker:asterix_nc2] INFO  org.apache.asterix.messaging.NCMessageBroker - Received message: org.apache.asterix.app.replication.message.RegistrationTasksResponseMessage@20e0c7a3
15:08:11.439 [Executor-6:asterix_nc2] INFO  org.apache.asterix.app.replication.message.RegistrationTasksResponseMessage - Starting startup task: { "class" : "UpdateNodeStatusTask" }
15:08:11.440 [Executor-6:asterix_nc2] INFO  org.apache.asterix.app.replication.message.RegistrationTasksResponseMessage - Completed startup task: { "class" : "UpdateNodeStatusTask" }
15:08:11.440 [Executor-6:asterix_nc2] INFO  org.apache.asterix.app.replication.message.RegistrationTasksResponseMessage - Starting startup task: { "class" : "CheckpointTask" }
15:08:11.440 [Executor-6:asterix_nc2] INFO  org.apache.asterix.transaction.management.service.recovery.CheckpointManager - Starting sharp checkpoint...
15:08:11.440 [Executor-6:asterix_nc2] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Listing of files in the checkpoint dir returned [data\blue\txnlog\checkpoint_0]
15:08:11.441 [Executor-6:asterix_nc2] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Persisting checkpoint file to C:\Users\emm12\OneDrive - UW\Winter Quarter 2023\CSE414\HW7\asterix-server-0.9.6-binary-assembly\apache-asterixdb-0.9.6\opt\local\data\blue\txnlog\checkpoint_1 which doesn't exist yet
15:08:11.464 [Executor-6:asterix_nc2] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Completed persisting checkpoint file to C:\Users\emm12\OneDrive - UW\Winter Quarter 2023\CSE414\HW7\asterix-server-0.9.6-binary-assembly\apache-asterixdb-0.9.6\opt\local\data\blue\txnlog\checkpoint_1 which now exists
15:08:11.464 [Executor-6:asterix_nc2] INFO  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Listing of files in the checkpoint dir returned [data\blue\txnlog\checkpoint_0, data\blue\txnlog\checkpoint_1]
15:08:11.464 [Executor-6:asterix_nc2] WARN  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Reading checkpoint file: C:\Users\emm12\OneDrive - UW\Winter Quarter 2023\CSE414\HW7\asterix-server-0.9.6-binary-assembly\apache-asterixdb-0.9.6\opt\local\data\blue\txnlog\checkpoint_0
15:08:11.466 [Executor-6:asterix_nc2] WARN  org.apache.asterix.transaction.management.service.recovery.AbstractCheckpointManager - Reading checkpoint file: C:\Users\emm12\OneDrive - UW\Winter Quarter 2023\CSE414\HW7\asterix-server-0.9.6-binary-assembly\apache-asterixdb-0.9.6\opt\local\data\blue\txnlog\checkpoint_1
15:08:11.467 [Executor-6:asterix_nc2] INFO  org.apache.asterix.transaction.management.service.logging.LogManager - Terminating LogFlusher thread ...
15:08:11.468 [Executor-6:asterix_nc2] INFO  org.apache.asterix.transaction.management.service.logging.LogManager - LogFlusher thread is terminated.
15:08:11.468 [Executor-6:asterix_nc2] INFO  org.apache.asterix.transaction.management.service.logging.LogManager - closing current log file with id(1)
15:08:11.470 [Executor-6:asterix_nc2] INFO  org.apache.asterix.transaction.management.service.logging.LogManager - Created log file data/blue/txnlog\transaction_log_2
15:08:11.472 [Executor-6:asterix_nc2] INFO  org.apache.asterix.transaction.management.service.logging.LogManager - Deleted log file C:\Users\emm12\OneDrive - UW\Winter Quarter 2023\CSE414\HW7\asterix-server-0.9.6-binary-assembly\apache-asterixdb-0.9.6\opt\local\data\blue\txnlog\transaction_log_1
15:08:11.489 [Executor-6:asterix_nc2] INFO  org.apache.asterix.transaction.management.service.logging.LogManager - initializing log anchor with log file Id: 2 at offset: 0
15:08:11.490 [Executor-6:asterix_nc2] INFO  org.apache.asterix.transaction.management.service.logging.LogManager - LogManager starts logging in LSN: 536870912
15:08:11.490 [Executor-6:asterix_nc2] INFO  org.apache.asterix.transaction.management.service.recovery.CheckpointManager - Completed sharp checkpoint.
15:08:11.490 [Executor-6:asterix_nc2] INFO  org.apache.asterix.app.replication.message.RegistrationTasksResponseMessage - Completed startup task: { "class" : "CheckpointTask" }
15:08:11.490 [Executor-6:asterix_nc2] INFO  org.apache.asterix.app.replication.message.RegistrationTasksResponseMessage - Starting startup task: { "class" : "StartLifecycleComponentsTask" }
15:08:11.490 [Executor-6:asterix_nc2] INFO  org.apache.asterix.app.nc.task.StartLifecycleComponentsTask - Starting lifecycle components
15:08:11.491 [Executor-6:asterix_nc2] INFO  org.apache.asterix.app.nc.task.StartLifecycleComponentsTask - Coredump directory for NC is: data/blue/coredump
15:08:11.491 [Executor-6:asterix_nc2] INFO  org.apache.hyracks.api.lifecycle.LifeCycleComponentManager - LifecycleComponentManager configured org.apache.hyracks.api.lifecycle.LifeCycleComponentManager@3549bca9
15:08:11.491 [Executor-6:asterix_nc2] INFO  org.apache.asterix.app.nc.task.StartLifecycleComponentsTask - Configured:org.apache.hyracks.api.lifecycle.LifeCycleComponentManager@3549bca9
15:08:11.493 [Executor-6:asterix_nc2] INFO  org.apache.asterix.app.replication.message.RegistrationTasksResponseMessage - Completed startup task: { "class" : "StartLifecycleComponentsTask" }
15:08:11.493 [Executor-6:asterix_nc2] INFO  org.apache.asterix.app.replication.message.RegistrationTasksResponseMessage - Starting startup task: { "class" : "UpdateNodeStatusTask" }
15:08:11.493 [Executor-6:asterix_nc2] INFO  org.apache.asterix.app.replication.message.RegistrationTasksResponseMessage - Completed startup task: { "class" : "UpdateNodeStatusTask" }
15:15:00.891 [Worker:asterix_nc2] INFO  org.apache.asterix.messaging.NCMessageBroker - Received message: ResourceIdRequestResponseMessage
15:17:52.362 [Executor-12:asterix_nc2:JID:0.3:TAID:TID:ANID:ODID:0:0:1:0:SuperActivityOperatorNodePushable] INFO  org.apache.hyracks.storage.am.common.dataflow.IndexDataflowHelper - Dropping index storage\partition_1\geo\world\0\world on node asterix_nc2
15:17:52.366 [Executor-12:asterix_nc2:JID:0.3:TAID:TID:ANID:ODID:0:0:1:0:SuperActivityOperatorNodePushable] INFO  org.apache.hyracks.storage.am.lsm.common.impls.AbstractLSMIndex - Deactivating the index: {"class" : "LSMBTree", "dir" : "C:\Users\emm12\OneDrive - UW\Winter Quarter 2023\CSE414\HW7\asterix-server-0.9.6-binary-assembly\apache-asterixdb-0.9.6\opt\local\data\blue\storage\partition_1\geo\world\0\world", "memory" : [{"class":"LSMBTreeMemoryComponent", "state":"INACTIVE", "writers":0, "readers":0, "pendingFlushes":0, "id":"null"}, {"class":"LSMBTreeMemoryComponent", "state":"INACTIVE", "writers":0, "readers":0, "pendingFlushes":0, "id":"null"}], "disk" : 1, "num-scheduled-flushes":0, "current-memory-component":0}. STARTED
15:17:52.366 [Executor-12:asterix_nc2:JID:0.3:TAID:TID:ANID:ODID:0:0:1:0:SuperActivityOperatorNodePushable] INFO  org.apache.hyracks.storage.am.lsm.common.impls.AbstractLSMIndex - Deactivating the disk components of: {"class" : "LSMBTree", "dir" : "C:\Users\emm12\OneDrive - UW\Winter Quarter 2023\CSE414\HW7\asterix-server-0.9.6-binary-assembly\apache-asterixdb-0.9.6\opt\local\data\blue\storage\partition_1\geo\world\0\world", "memory" : [{"class":"LSMBTreeMemoryComponent", "state":"INACTIVE", "writers":0, "readers":0, "pendingFlushes":0, "id":"null"}, {"class":"LSMBTreeMemoryComponent", "state":"INACTIVE", "writers":0, "readers":0, "pendingFlushes":0, "id":"null"}], "disk" : 1, "num-scheduled-flushes":0, "current-memory-component":0}
15:17:52.367 [Executor-12:asterix_nc2:JID:0.3:TAID:TID:ANID:ODID:0:0:1:0:SuperActivityOperatorNodePushable] INFO  org.apache.hyracks.storage.am.lsm.common.impls.AbstractLSMIndex - Deallocating memory components of: {"class" : "LSMBTree", "dir" : "C:\Users\emm12\OneDrive - UW\Winter Quarter 2023\CSE414\HW7\asterix-server-0.9.6-binary-assembly\apache-asterixdb-0.9.6\opt\local\data\blue\storage\partition_1\geo\world\0\world", "memory" : [{"class":"LSMBTreeMemoryComponent", "state":"INACTIVE", "writers":0, "readers":0, "pendingFlushes":0, "id":"null"}, {"class":"LSMBTreeMemoryComponent", "state":"INACTIVE", "writers":0, "readers":0, "pendingFlushes":0, "id":"null"}], "disk" : 1, "num-scheduled-flushes":0, "current-memory-component":0}
15:17:52.367 [Executor-12:asterix_nc2:JID:0.3:TAID:TID:ANID:ODID:0:0:1:0:SuperActivityOperatorNodePushable] INFO  org.apache.hyracks.storage.am.lsm.common.impls.AbstractLSMIndex - Deactivating the index: {"class" : "LSMBTree", "dir" : "C:\Users\emm12\OneDrive - UW\Winter Quarter 2023\CSE414\HW7\asterix-server-0.9.6-binary-assembly\apache-asterixdb-0.9.6\opt\local\data\blue\storage\partition_1\geo\world\0\world", "memory" : [{"class":"LSMBTreeMemoryComponent", "state":"INACTIVE", "writers":0, "readers":0, "pendingFlushes":0, "id":"null"}, {"class":"LSMBTreeMemoryComponent", "state":"INACTIVE", "writers":0, "readers":0, "pendingFlushes":0, "id":"null"}], "disk" : 1, "num-scheduled-flushes":0, "current-memory-component":0}. COMPLETED
15:17:52.476 [Worker:asterix_nc2] INFO  org.apache.asterix.messaging.NCMessageBroker - Received message: ResourceIdRequestResponseMessage
16:31:00.151 [ShutdownWatchdog] INFO  org.apache.hyracks.util.ExitUtil - starting shutdown watchdog- system will halt if shutdown is not completed within 600 seconds
16:31:00.151 [JVM exit thread] WARN  org.apache.hyracks.util.ExitUtil - JVM exiting with status 0; bye!
java.lang.Throwable: exit callstack
	at org.apache.hyracks.util.ExitUtil.exit(ExitUtil.java:89) ~[hyracks-util-0.3.6.jar:0.3.6]
	at org.apache.hyracks.control.nc.task.ShutdownTask.run(ShutdownTask.java:36) ~[hyracks-control-nc-0.3.6.jar:0.3.6]
	at java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:539) ~[?:?]
	at java.util.concurrent.FutureTask.run(FutureTask.java:264) ~[?:?]
	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1136) ~[?:?]
	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:635) ~[?:?]
	at java.lang.Thread.run(Thread.java:833) ~[?:?]
